Country,Health Index
Afghanistan,0.25761779772123955
Albania,0.6994673786621058
Algeria,0.549598252625285
Andorra,0.27535420420298296
Angola,0.3495929041618148
Antigua and Barbuda,0.636237540157374
Argentina,0.6746961846094256
Armenia,0.6196907578125754
Australia,0.8150853749278975
Austria,0.710699894955953
Azerbaijan,0.558835373270354
Bahamas,0.5583541928322039
Bahrain,0.685366829536194
Bangladesh,0.5355087625881921
Barbados,0.6527109067149792
Belarus,0.7497510129087855
Belgium,0.7596387241061128
Belize,0.6006238636412923
Benin,0.35089465216774085
Bhutan,0.6200240015687659
"Bolivia, Plurinational State of",0.521815034159637
Bosnia and Herzegovina,0.6254533204812713
Botswana,0.4705754332725495
Brazil,0.6267012863265047
Bulgaria,0.6733690440745352
Burkina Faso,0.4698855583294964
Burundi,0.4202501726206456
Cabo Verde,0.6235156470088783
Cambodia,0.5332135672708347
Cameroon,0.36895302305609995
Canada,0.8010130306814629
Central African Republic,0.1450602798182539
Chad,0.23822403406987336
Chile,0.7285832451904232
China,0.6812710980041117
Colombia,0.680866082218019
Comoros,0.46147896765550667
Cook Islands,0.33765175609667664
Costa Rica,0.7198149747957728
Croatia,0.6855493569580583
Cuba,0.7371778794090743
Cyprus,0.7295500943902704
Czechia,0.75807024146597
Côte d'Ivoire,0.39836866656822195
Denmark,0.7544751854292743
Djibouti,0.39225392965430844
Dominica,0.20999276448641388
Dominican Republic,0.6047739663008759
Ecuador,0.589324042936927
Egypt,0.5763838629717267
El Salvador,0.7124099214752009
Equatorial Guinea,0.3280855065767113
Eritrea,0.421421201132002
Estonia,0.6813838842217346
Eswatini,0.4634994836492767
Ethiopia,0.47425098769414137
Fiji,0.4979546484622961
Finland,0.8397001509660232
France,0.7066042120460427
Gabon,0.47928587361939745
Gambia,0.44842961517163377
Georgia,0.6388923121158309
Germany,0.7419627214162976
Ghana,0.5027969072759326
Greece,0.6988578745249099
Grenada,0.5324500210203831
Guatemala,0.5470280525151369
Guinea,0.3325084696633258
Guinea-Bissau,0.3134468310646703
Guyana,0.4711454303500686
Haiti,0.324409892717068
Honduras,0.5120273129319957
Hungary,0.6627650292485741
Iceland,0.7266766332786438
India,0.5355683215009813
Indonesia,0.6024824453295925
"Iran, Islamic Republic of",0.6951497830498032
Iraq,0.5433568841751558
Ireland,0.7190886131436587
Israel,0.7667328746768811
Italy,0.7013639702600046
Jamaica,0.5542385672317203
Japan,0.8406572194254329
Jordan,0.6403587838349343
Kazakhstan,0.6471029876938112
Kenya,0.4617312464643304
Kiribati,0.37809432883164984
"Korea, Democratic People's Republic of",0.4693921154427104
"Korea, Republic of",0.7944489618775026
Kuwait,0.672834438435416
Kyrgyzstan,0.5916331669537526
Lao People's Democratic Republic,0.49474895767810767
Latvia,0.6671513674224236
Lebanon,0.5640147272859637
Lesotho,0.2216341888094701
Liberia,0.3492048644278412
Libya,0.5048018207564662
Lithuania,0.6741501084305088
Luxembourg,0.7531429572888476
Madagascar,0.3306799594289986
Malawi,0.47278921690635756
Malaysia,0.6997405176924325
Maldives,0.697625548794698
Mali,0.36754871473785766
Malta,0.7406360189606839
Marshall Islands,0.21495664040107276
Mauritania,0.4237510150407749
Mauritius,0.6067362909293045
Mexico,0.6394285353671275
"Moldova, Republic of",0.6248964811151783
Monaco,0.4051964554183713
Mongolia,0.6385245995194695
Montenegro,0.6739481940374381
Morocco,0.6169906314173756
Mozambique,0.3931742327956235
Myanmar,0.46409468485755306
Namibia,0.501015399193908
Nauru,0.21510867647292534
Nepal,0.527919183764242
Netherlands,0.7305848073795342
New Zealand,0.7343546045713251
Nicaragua,0.6233218355197364
Niger,0.3895499339305645
Nigeria,0.28145268496622144
Niue,0.22919551395142512
North Macedonia,0.6745999051373168
Norway,0.7824254885048029
Oman,0.6272309130980103
Pakistan,0.44384753115895453
Palau,0.25965859540916675
Panama,0.7158222308654194
Papua New Guinea,0.35223019383899434
Paraguay,0.584569821516047
Peru,0.5897299984092129
Philippines,0.5395890579058245
Poland,0.7024931366964843
Portugal,0.7190793276946147
Puerto Rico,0.34262635235070327
Qatar,0.7410593882269207
Romania,0.666581888545708
Rwanda,0.5415094709769507
Saint Kitts and Nevis,0.27939019866921366
Saint Lucia,0.602085125152396
Saint Vincent and the Grenadines,0.5670190518776577
Samoa,0.5201488958906967
San Marino,0.30505752452032836
Sao Tome and Principe,0.5808707688545882
Saudi Arabia,0.7512929466472958
Senegal,0.47900300932351764
Serbia,0.6842330064669494
Seychelles,0.6058366578478183
Sierra Leone,0.37800831816515595
Singapore,0.7720185457003907
Slovakia,0.6941550465173386
Slovenia,0.7537185894299208
Solomon Islands,0.4614823948113973
Somalia,0.22807792084196643
South Africa,0.5281146841874996
South Sudan,0.2055100972606739
Spain,0.7825905662862671
Sri Lanka,0.7007907435082503
Sudan,0.4643828660648498
Suriname,0.5505108087295485
Sweden,0.7851556573511917
Switzerland,0.7970641264825312
Syrian Arab Republic,0.45588266714026016
Tajikistan,0.6145697715144764
"Tanzania, United Republic of",0.5013573967724597
Thailand,0.7175601348327338
Timor-Leste,0.5222296450980264
Togo,0.3949374472595847
Tonga,0.5674335408334225
Trinidad and Tobago,0.650370143418558
Tunisia,0.6381939166297369
Turkmenistan,0.5318459522166195
Tuvalu,0.2054102988343434
Uganda,0.4559704981304885
Ukraine,0.6447173303975058
United Arab Emirates,0.76444582713727
United Kingdom,0.7963764312596626
United States,0.7600939096248468
Uruguay,0.7483954586261573
Uzbekistan,0.5872135230341324
Vanuatu,0.46393407480161325
"Venezuela, Bolivarian Republic of",0.42743110998707856
Viet Nam,0.5770287005853934
Yemen,0.39680396928744616
Zambia,0.46458957249251176
Zimbabwe,0.4202813762591996
